store_group,store_id,promo_period_int,period_num,period_year,weekly_velocity_amount,weekly_velocity_quantity
baseline_control,29,70,5,2020,35.98,2.25
baseline_control,29,72,7,2020,33.98,2.25
baseline_control,24,74,9,2020,40.48,2.25
baseline_control,32,75,10,2020,47.23,2.25
baseline_control,24,46,7,2018,36.73,2.5
baseline_control,32,47,8,2018,42.47,2.5
baseline_control,40,49,10,2018,40.98,2.5
baseline_control,17,59,7,2019,44.97,2.5
baseline_control,32,65,13,2019,46.22,2.5
baseline_control,7,67,2,2020,44.97,2.5
baseline_control,29,67,2,2020,41.72,2.5
baseline_control,15,69,4,2020,44.97,2.5
film_control,38,69,4,2020,42.47,2.5
baseline_control,39,70,5,2020,47.47,2.5
baseline_control,37,71,6,2020,47.48,2.5
baseline_control,15,74,9,2020,44.97,2.5
baseline_control,7,47,8,2018,52.22,2.75
program_test,36,49,10,2018,46.22,2.75
baseline_control,7,52,13,2018,52.22,2.75
baseline_control,2,58,6,2019,52.22,2.75
baseline_control,8,60,8,2019,52.22,2.75
baseline_control,24,62,10,2019,51.97,2.75
baseline_control,40,66,1,2020,46.47,2.75
baseline_control,24,49,10,2018,53.97,3
baseline_control,14,55,3,2019,48.22,3
